Ward;Region;Registered Voters 2011;Registered Voters 2016;Registered Voters 2021;Turnout 20211;Turnout 2016;Turnout 2021;DA Ward Vote 2011;DA Ward Vote 2016;DA Ward Vote 2021;DA PR Vote 2011;DA PR Vote 2016;DA PR Vote 2021;ANC Ward Vote 2011;ANC Ward Vote 2016;ANC Ward Vote 2021;ANC PR Vote 2011;ANC PR Vote 2016;ANC PR Vote 2021;EFF Ward Vote 2011;EFF Ward Vote 2016;EFF Ward Vote 2021;EFF PR Vote 2011;EFF PR Vote 2016;EFF PR Vote 2021;ASA Ward Vote 2011;ASA Ward Vote 2016;ASA Ward Vote 2021;ASA PR Vote 2011;ASA PR Vote 2016;ASA PR Vote 2021;VF Plus Ward Vote 2011;VF Plus Ward Vote 2016;VF Plus Ward Vote 2021;VF Plus PR Vote 2011;VF Plus PR Vote 2016;VF Plus PR Vote 2021;Ward Status (LRW/MW/SW)
29;1;10 460;13 935;13035;5 979;7957;5725;267;748;205;304;747;183;4343;5840;3146;5002;5845;3374;-;959;1417;-;923;1328;-;-;275;-;-;337;3;6;12;3;7;15;
30;1;13 359;15 308;15853;7 387;8600;6510;450;1301;313;421;1275;304;6350;5298;3585;6459;5364;3551;-;1733;1571;-;1676;1434;-;-;557;-;-;685;8;1;5;5;2;7;
31;1;13 967;13 793;13885;7 271;7323;5553;641;1114;564;597;1112;527;5925;4504;2656;6104;4509;2697;-;1435;996;-;1406;884;-;-;667;-;-;820;4;4;166;0;3;153;
32;1;12 888;14 861;16183;6 327;7936;6203;674;1415;405;635;1455;399;5115;4657;3436;5214;4573;3241;-;1621;1236;-;1642;1178;-;-;730;-;-;924;4;3;9;5;3;8;
33;1;11 120;13 364;14557;6 182;7568;5815;551;1418;384;393;1371;376;5177;4997;3112;5441;5088;3172;-;910;991;-;847;917;-;-;537;-;-;463;6;6;8;3;6;7;
34;1;13 065;13 435;13429;6 598;6820;4925;395;687;188;384;687;211;5844;5132;3043;5924;5106;2911;-;796;716;-;823;748;-;-;550;-;-;567;1;3;7;0;2;9;
35;1;11 104;12 385;14466;5 025;6052;5145;313;840;270;305;848;265;4410;3765;2935;4437;3797;2847;-;1169;804;-;1132;832;-;-;381;-;-;475;1;6;17;1;3;5;
36;1;13 144;14 082;13909;6 417;6768;5088;365;999;420;349;956;333;5573;4297;2485;5718;4441;2661;-;1274;1007;-;1181;877;-;-;677;-;-;797;3;2;8;0;3;9;
37;1;12 883;16 347;13714;7 282;8534;5315;326;732;284;304;725;274;6626;5543;3234;6766;5626;3162;-;1917;1139;-;1898;1051;-;-;412;-;-;519;1;7;7;2;8;5;
38;6;12 191;12 942;11473;4 481;5854;2963;303;1751;507;387;1566;506;3114;2729;1202;3564;2839;1225;-;1147;658;-;1199;554;-;-;324;-;-;375;1;14;15;3;9;4;
39;1;11 500;13 497;12941;6 316;7224;4752;254;785;219;221;734;225;5784;5064;3080;5838;5056;3049;-;1166;897;-;1177;835;-;-;203;-;-;260;1;3;3;1;3;4;
40;6;13 764;15 593;14813;7 249;7340;4857;304;549;182;371;561;173;5633;4442;2834;6492;4707;3103;-;1562;631;-;1624;632;-;-;288;-;-;389;3;3;8;3;3;7;
41;6;12 641;14 531;16210;7 862;10219;9036;6425;8152;5503;6445;8037;5201;874;985;768;905;1014;800;-;402;438;-;435;440;-;-;609;-;-;733;323;505;1161;292;485;1290;
42;3;12 043;13 769;14721;7 992;9986;8774;6519;8529;6405;6539;8438;6133;1018;837;559;1035;855;578;-;217;113;-;227;76;-;-;420;-;-;571;237;233;1038;228;277;1102;
43;6;11 843;15 313;14533;6 317;9286;6392;3806;6437;1905;4313;6688;2090;1420;1597;734;1614;1579;745;-;584;200;-;465;201;-;-;1014;-;-;583;42;49;148;44;54;137;
44;6;13 587;13 880;14391;9 071;10756;9011;8032;9517;6282;8031;9452;6157;532;485;262;553;507;325;-;171;137;-;162;122;-;-;442;-;-;515;299;410;1557;300;410;1258;
45;6;10 041;14 730;14598;6 895;11086;9402;5961;9583;6139;5955;9502;6167;557;-;387;571;728;410;-;379;152;-;220;141;-;-;434;-;-;550;230;430;1659;230;395;1621;
46;6;11 861;12 670;14960;7 822;9198;8978;6584;8014;6444;6530;7977;6322;716;541;345;723;568;340;-;179;104;-;167;105;-;-;410;-;-;509;286;313;1287;362;306;1355;
47;6;11 858;15 394;15116;7 802;11276;9518;6683;9852;6571;6711;9776;6446;643;656;344;680;640;349;-;137;120;-;156;76;-;-;397;-;-;512;248;477;1778;225;494;1785;
48;4;13 625;17 620;17159;6 448;11769;8948;1081;7332;4689;1156;7332;4545;4943;2593;1071;4953;2606;1125;-;1399;671;-;1374;689;-;-;1609;-;-;1738;22;174;600;18;164;533;
49;2;13 320;14 888;14533;6 748;8082;5736;1725;1480;641;1704;1483;639;4591;5020;2980;4688;5064;3091;-;1177;818;-;1161;841;-;-;276;-;-;366;117;116;175;112;106;170;
